Procesos,Intervalo,Tiempo_promedio,Desviacion_estandar
25,10,2.16,0.9243376006633076
50,10,1.7,0.9047651629014017
100,10,0.81,0.9834215779613543
150,10,0.5466666666666666,0.9380888372998936
200,10,0.37,0.8427084311907647
25,5,2.16,1.007174264961134
50,5,1.74,0.9087221797667316
100,5,0.79,0.9689984520111476
150,5,0.5466666666666666,0.9380888372998936
200,5,0.37,0.8427084311907647
25,1,2.08,1.0166612021711066
50,1,1.74,0.9087221797667316
100,1,0.75,0.9807522622966516
150,1,0.5466666666666666,0.9380888372998936
200,1,0.37,0.8427084311907647
