Procesos,Intervalo,Tiempo_promedio,Desviacion_estandar
25,10,1.92,0.9545847264648644
50,10,1.02,1.0933252032218046
100,10,0.33,0.7285005147561668
150,10,0.24,0.719718463474897
200,10,0.185,0.6161414204547524
25,5,1.6,1.0322790320451152
50,5,1.02,1.0933252032218046
100,5,0.34,0.7277417124227524
150,5,0.24,0.719718463474897
200,5,0.185,0.6161414204547524
25,1,1.64,1.0511403331620381
50,1,1.02,1.0933252032218046
100,1,0.34,0.7277417124227524
150,1,0.24,0.719718463474897
200,1,0.185,0.6161414204547524
